source,target,similarity,link
auroravid.to,novamov.co,100.0,1
bitvid.sx,videoweed.co,100.0,1
bitvid.sx,videoweed.es,100.0,1
cloudtime.to,divxstage.to,100.0,1
daclips.co,daclips.in,100.0,1
daclips.co,movpod.in,89.1832229580574,1
daclips.co,movpod.ne,89.1832229580574,1
daclips.in,movpod.in,89.1832229580574,1
daclips.in,movpod.ne,89.1832229580574,1
gorillavid.co,gorillavid.in,100.0,1
movpod.in,movpod.ne,100.0,1
thevideobee.to,vidtodo.co,93.66391184573003,1
videoweed.co,videoweed.es,100.0,1
